13162.00,1985.00
10735.00,1797.00
9762.00,1745.00
12669.00,1863.00
9705.00,1728.00
15506.00,2035.00
10544.00,1786.00
9819.00,1775.00
14371.00,1949.00
10039.00,1788.00
15355.00,2013.00
13755.00,1970.00
13154.00,1898.00
11181.00,1837.00
14673.00,1947.00
10602.00,1820.00
14727.00,2004.00
15103.00,1990.00
14070.00,1959.00
12159.00,1896.00
11992.00,1821.00
10060.00,1740.00
12022.00,1819.00
12207.00,1859.00
12770.00,1783.00
3176.00,2498.00
18213.00,3846.00
3758.00,2580.00
6724.00,2987.00
3844.00,1725.00
4014.00,1763.00
2573.00,1541.00
678.00,2220.00
356.00,2151.00
980.00,2221.00
3761.00,2638.00
1675.00,2351.00
4414.00,1459.00
4993.00,1521.00
3335.00,1431.00
3821.00,1444.00
2547.00,1373.00
838.00,1214.00
2424.00,1356.00
7222.00,1667.00
2467.00,1370.00
2915.00,1399.00
12357.00,1916.00
3490.00,1401.00
6017.00,1576.00
6088.00,1593.00
6375.00,1649.00
7604.00,1692.00
4729.00,1506.00
3609.00,1447.00
7018.00,1690.00
6564.00,1658.00
12167.00,1926.00
8198.00,1736.00
4193.00,1491.00
5528.00,1555.00
10685.00,1869.00
254.00,1141.00
8580.00,1698.00
8891.00,1364.00
5079.00,1804.00
10352.00,2038.00
10129.00,2010.00
10465.00,2133.00
5472.00,1882.00
8247.00,1944.00
6711.00,2346.00
10080.00,2048.00
7804.00,1946.00
16901.00,2629.00
9471.00,2187.00
9482.00,2095.00
5980.00,1861.00
11423.00,2194.00
5439.00,1854.00
42.00,403.00
8856.00,1450.00
10035.00,1495.00
7641.00,1433.00
9010.00,1468.00
13459.00,1625.00
10415.00,1529.00
11663.00,1584.00
12414.00,1638.00
11658.00,1554.00
6093.00,1397.00
8911.00,1481.00
12058.00,1638.00
14112.00,1655.00
11177.00,1570.00
11388.00,1551.00
7193.00,1377.00
7114.00,1407.00
10645.00,1545.00
13238.00,1650.00
10414.00,1501.00
16520.00,1760.00
14335.00,1710.00
13559.00,1628.00
12312.00,1618.00
11677.00,1590.00
11550.00,1574.00
13585.00,1633.00
13072.00,1630.00
8539.00,3654.00
1982.00,3051.00
4496.00,2828.00
10252.00,3879.00
11728.00,3429.00
4369.00,2704.00
5862.00,3089.00
