"Sunday    ",285.16,401382.00,24901.00,125213.00
"Monday    ",300.88,426568.00,19297.00,111871.00
"Tuesday   ",417.95,596875.00,26295.00,162253.00
"Wednesday ",377.51,529509.00,28689.00,156964.00
"Thursday  ",369.50,523745.00,25683.00,147627.00
"Friday    ",314.18,450380.00,23109.00,132790.00
"Saturday  ",399.90,562654.00,23887.00,142893.00
