1503960366,199.28,310142.00,9007.00,46807.00
1644430081,23.17,31871.00,1176.00,11911.00
1844505072,6.91,10431.00,1956.00,5029.00
1927972279,5.16,7450.00,2085.00,11581.00
2026352035,97.64,157323.00,14173.00,43142.00
2320127002,3.42,5079.00,61.00,1804.00
2347167796,85.22,127998.00,6702.00,29570.00
3977333714,214.93,314104.00,8222.00,43691.00
4020332650,37.85,52774.00,2795.00,25560.00
4319703577,124.43,185261.00,12393.00,52642.00
4388161847,197.56,253790.00,9204.00,72260.00
4445114986,90.09,133173.00,10785.00,61128.00
4558609924,26.91,40695.00,638.00,10985.00
4702921684,197.91,243968.00,11272.00,81528.00
5553957443,174.83,266990.00,14368.00,58146.00
5577150313,180.14,240762.00,11232.00,92019.00
6117666160,120.51,158829.00,8618.00,44295.00
6775888955,7.53,10497.00,1049.00,7034.00
6962181067,204.16,303639.00,13888.00,61443.00
7007744171,6.85,10231.00,137.00,4301.00
7086361926,168.16,246972.00,10875.00,63783.00
8053475328,45.05,57236.00,891.00,9928.00
8378563200,214.32,270249.00,13799.00,106534.00
8792009665,33.05,51649.00,6535.00,34490.00
